Flight_code,Airline
6E-7477,Indigo
6E-7149,Indigo
6.00E-238,Indigo
6E-6011,Indigo
6E-6113,Indigo
6E-6518,Indigo
6.00E-183,Indigo
6E-6326,Indigo
6E-597,Indigo
6E-6309,Indigo
6E-522,Indigo
6E-576,Indigo
6.00E-244,Indigo
6E-6835,Indigo
6E-502,Indigo
6E-6112,Indigo
6E-6375,Indigo
6E-6235,Indigo
6.00E-158,Indigo
6E-6506,Indigo
6E-935,Indigo
6E-6202,Indigo
6E-6271,Indigo
6.00E-246,Indigo
6E-6042,Indigo
6E-2032,Indigo
6E-7114,Indigo
6E-6244,Indigo
6E-7274,Indigo
6E-7568,Indigo
6E-2451,Indigo
6E-6736,Indigo
6E-7074,Indigo
6E-2527,Indigo
6E-6126,Indigo
6E-6935,Indigo
6E-803,Indigo
6E-2046,Indigo
6E-6794,Indigo
6E-6182,Indigo
6E-6208,Indigo
6E-2444,Indigo
6E-6425,Indigo
6E-983,Indigo
6E-481,Indigo
6E-996,Indigo
6E-863,Indigo
6E-6539,Indigo
6E-6728,Indigo
6.00E-133,Indigo
6E-383,Indigo
6E-823,Indigo
6E-6422,Indigo
6E-794,Indigo
6E-699,Indigo
6E-6418,Indigo
6E-6391,Indigo
6E-326,Indigo
6E-6115,Indigo
6E-7247,Indigo
6E-7158,Indigo
6E-758,Indigo
6E-992,Indigo
6E-6687,Indigo
6E-6805,Indigo
6.00E-117,Indigo
6E-6556,Indigo
6E-966,Indigo
6.00E-261,Indigo
6E-921,Indigo
6E-6493,Indigo
6E-7073,Indigo
6E-348,Indigo
SG-8169,SpiceJet
SG-8709,SpiceJet
SG-2976,SpiceJet
SG-8701,SpiceJet
SG-8241,SpiceJet
SG-2905,SpiceJet
SG-2954,SpiceJet
SG-191,SpiceJet
SG-143,SpiceJet
SG-480,SpiceJet
SG-8938,SpiceJet
SG-8411,SpiceJet
SG-8496,SpiceJet
SG-8721,SpiceJet
SG-8722,SpiceJet
SG-8869,SpiceJet
SG-8185,SpiceJet
SG-8133,SpiceJet
SG-8946,SpiceJet
SG-8103,SpiceJet
SG-8373,SpiceJet
SG-8165,SpiceJet
SG-8941,SpiceJet
SG-903,SpiceJet
SG-187,SpiceJet
SG-8263,SpiceJet
SG-8253,SpiceJet
SG-8207,SpiceJet
SG-8211,SpiceJet
SG-207,SpiceJet
SG-193,SpiceJet
SG-8717,SpiceJet
SG-8158,SpiceJet
SG-8702,SpiceJet
SG-8152,SpiceJet
SG-2872,SpiceJet
SG-276,SpiceJet
SG-349,SpiceJet
SG-455,SpiceJet
SG-475,SpiceJet
SG-488,SpiceJet
SG-241,SpiceJet
SG-467,SpiceJet
SG-163,SpiceJet
SG-251,SpiceJet
SG-611,SpiceJet
SG-220,SpiceJet
SG-253,SpiceJet
SG-535,SpiceJet
SG-136,SpiceJet
SG-2909,SpiceJet
SG-768,SpiceJet
SG-531,SpiceJet
SG-8134,SpiceJet
SG-9442,SpiceJet
SG-517,SpiceJet
SG-4003,SpiceJet
SG-1006,SpiceJet
SG-8166,SpiceJet
SG-2947,SpiceJet
SG-494,SpiceJet
SG-8130,SpiceJet
SG-8264,SpiceJet
SG-893,SpiceJet
SG-497,SpiceJet
SG-242,SpiceJet
SG-489,SpiceJet
SG-383,SpiceJet
SG-516,SpiceJet
SG-274,SpiceJet
SG-874,SpiceJet
SG-612,SpiceJet
SG-8208,SpiceJet
SG-443,SpiceJet
SG-329,SpiceJet
SG-445,SpiceJet
SG-678,SpiceJet
SG-8108,SpiceJet
SG-9543,SpiceJet
SG-209,SpiceJet
SG-384,SpiceJet
SG-2975,SpiceJet
SG-2971,SpiceJet
SG-194,SpiceJet
SG-8718,SpiceJet
SG-9124,SpiceJet
SG-1077,SpiceJet
SG-1084,SpiceJet
SG-977,SpiceJet
SG-3762,SpiceJet
SG-869,SpiceJet
SG-491,SpiceJet
S5-112,StarAir
S5-151,StarAir
S5-131,StarAir
S5-152,StarAir
UK-985,Vistara
UK-627,Vistara
UK-811,Vistara
UK-635,Vistara
UK-807,Vistara
UK-809,Vistara
UK-981,Vistara
UK-977,Vistara
UK-957,Vistara
UK-855,Vistara
UK-933,Vistara
UK-941,Vistara
UK-833,Vistara
UK-817,Vistara
UK-829,Vistara
UK-943,Vistara
UK-993,Vistara
UK-955,Vistara
UK-945,Vistara
UK-963,Vistara
UK-673,Vistara
UK-879,Vistara
UK-781,Vistara
UK-859,Vistara
UK-813,Vistara
UK-927,Vistara
UK-929,Vistara
UK-839,Vistara
UK-747,Vistara
UK-819,Vistara
UK-951,Vistara
UK-835,Vistara
UK-899,Vistara
UK-959,Vistara
